ID_INICIATIVA,LEGISLATURA,EXTRACTO,F_CREACION,SITUACION,PROCEDIMIENTO,TIPO_FINALIZACION,TIPO_DESCRIPCION
"10L/PNLC-0001","10","La promoción e implantación de la innovación en las políticas sociales.","2019-09-02","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0002","10","Mantenimiento de la deducción por gastos de estudios en educación infantil, primaria, enseñanza secundaria obligatoria, bachillerato y formación profesional de grado medio. ","2019-09-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0004","10","Personas con trastorno límite de la personalidad.","2019-09-13","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0005","10","La aprobación definitiva y suscripción del convenio interadministrativo entre la autoridad portuaria de santa cruz de tenerife, el cabildo insular de tenerife, el ayuntamiento de santa cruz de tenerife y la consejería de turismo, industria y comercio, para la realización de las actuaciones recogidas en el proyecto de las obras de defensa marítima y ordenación de la zona de charcos del área funcional de valleseco.","2019-09-23","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0006","10","Comienzo de las obras de ejecución del proyecto de remodelación y ampliación de la edar de buenos aires.\n\n","2019-09-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0003","10","El destacamento del seprona en lanzarote.","2019-09-10","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0007","10","Las ayudas extraordinarias para compensar las pérdidas económicas por la alta incidencia de la polilla guatemalteca y protocolo para su eliminación.","2019-10-01","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0008","10","Dotación de un centro de educación especial a la zona sur de gran canaria.","2019-10-03","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0011","10","La unidad de hemodinámica en la isla de fuerteventura.","2019-10-18","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0012","10","La construcción de un nuevo centro de salud en el municipio de ingenio.","2019-10-21","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0013","10","Adhesión de las administraciones locales al pacto de los alcaldes.","2019-10-23","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0010","10","Medidas organizativas y dotación de medios personales y materiales a los centros educativos con aulas enclave en relación con el horario de comedor.","2019-10-14","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0009","10","Dotación de una partida específica adicional al programa de desarrollo rural de canarias.","2019-10-09","Cerrada","Ordinario","Aprobada","PROPOSICIONES NO DE LEY EN COMISIÓN"
"10L/PNLC-0014","10","Conocimiento y puesta en valor de las cifras reales del reciclaje.","2019-12-09","En tramitación","Ordinario","","PROPOSICIONES NO DE LEY EN COMISIÓN"
